winner,loser,white_pieces,black_pieces,moves,evaluations,material_advantage,move_count
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e5, g1h3, d7d5, b2b3, g8f6, c2c3, b8c6, d2d4, e5d4, c1d2, d4c3, a2a4, c3d2, e1d2, f6e4, d2e1, c8h3, a4a5, d8f6, d1d5, f8b4, e1d1, e4f2, d1c1, f6a1, d5c5, b4c5, b3b4, c5e3, c1c2, c6d4","[-0.0015, -0.0107, -0.0112, -0.0162, -0.016, -0.0171, -0.0176, -0.0296, -0.0263, -0.0391, -0.0443, -0.0794, -0.0778, -0.0891, -0.0929, -0.1157, -0.1214, -0.1467, -0.1606, -0.1818, -0.1969, -0.2115, -0.2008, -0.2463, -0.4305, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -2, -5, -4, -4, -4, -7, -7, -7, -6, -6, -6, -7, -7, -12, -12, -21, -21, -21, -21, -21",31
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, c8d7, d2d4, b8a6, g1f3, d7f5, f3e5, d8d7, e5d7, b7b5, d7e5, f5h3, f1b5, e8d8, e5f7, d8c8, b5a6, c8b8, c2c3, h7h5, d1b3","[0.0071, 0.0148, 0.0158, 0.0257, 0.0244, 0.0361, 0.0372, 0.0713, 0.0731, 0.1015, 0.1007, 0.1768, 0.1891, 0.999, 0.9991, 0.9991, 0.9992, 0.9997, 0.9998, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 11, 11, 12, 12, 15, 15, 15, 15, 15",21
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e5, g1h3, d7d5, g2g4, c8g4, c2c3, b8c6, d1c2, d8d7, f2f3, g4h3, f1h3, d7h3, c2g6, h7g6, b2b4, h3g2, h2h3, g2h1, e1f2, h8h3, a2a3, h1d1, d2d3, h3h2, f2g3, d1g1","[-0.0038, -0.0115, -0.0116, -0.0304, -0.0325, -0.0328, -0.0339, -0.0371, -0.036, -0.0692, -0.0671, -0.0673, -0.0679, -0.1144, -0.1194, -0.1356, -0.1385, -0.9993, -0.9994, -0.9994, -0.9995, -0.9995, -0.9996, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -4, -1, -4, -4, -13, -13, -13, -13, -18, -18, -19, -19, -19, -19, -19, -19, -19",27
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d2d4, h7h5, f1d3, a7a5, g1f3, h8h7, d1e2, d8f6, e4e5, g7g6, e5f6, e6e5, f3g5, e5e4, e2e4, f8e7, g5h7, b7b6, e4a8, c8a6, a8b8, e7d8, e1g1, b6b5, f1e1, g8e7, e1e7","[0.0037, 0.0115, 0.0117, 0.0158, 0.0153, 0.0213, 0.0225, 0.0742, 0.0728, 0.0816, 0.0834, 0.1078, 0.1129, 0.1324, 0.1332, 0.134, 0.1365, 0.1641, 0.1704, 0.9993, 0.9994, 0.9994, 0.9995, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 9, 10, 10, 15, 15, 20, 20, 23, 23, 23, 23, 23, 23, 26",27
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"b1c3, e7e5, g1h3, c7c6, g2g3, b8a6, d1f3, d4f3, e1e2, f3d4, e2e1, a6b4, b2b3, b4c2, e1d1, c2a1, c1a3, f8a3, c3b5, c6b5, f2f3, d8c7, h3f4, c7c1","[-0.006, -0.0085, -0.0199, -0.0162, -0.0151, -0.0279, -0.1133, -0.1153, -0.1239, -0.1249, -0.1308, -0.1321, -0.134, -0.1335, -0.1344, -0.1353, -0.159, -0.1595, -0.2005, -0.2092, -0.2297, -0.9986, -0.9999, -1.0]","-3, -3, -3, -3, -3, -3, -3, -12, -12, -12, -12, -12, -12, -13, -13, -18, -18, -21, -21, -24, -24, -24, -24, -24",24
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c4d5, c8d7, d1b3, b7b6, g1f3, d7g4, d2d4, g8h6, f3e5, g4d7, c1h6, c7c5, b3f3, d7a4, f3f7","[0.0077, 0.0165, 0.0168, 0.021, 0.0241, 0.034, 0.0348, 0.049, 0.0492, 0.0573, 0.0616, 0.0762, 0.0772, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 5",15
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g1e2, d5e4, b1c3, b8c6, b2b3, e7e5, a2a3, f7f5, h2h4, g8f6, g2g4, f6g4, f1h3, d8h4, d2d4, g4f2, a1a2, f2d3, e1d2, h4h6, e2f4, h6f4, d2e2, c6d4","[-0.0093, -0.0095, -0.0102, -0.0095, -0.0147, -0.0162, -0.0222, -0.021, -0.0274, -0.0284, -0.0416, -0.0412, -0.0439, -0.0438, -0.0904, -0.0915, -0.9996, -0.9997, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2, -2, -3, -3, -4, -4, -4, -4, -4, -4, -7, -7, -8",24
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f7f5, e4f5, e6f5, f1d3, d8e7, g1e2, e7f7, e1g1, f7f6, b1c3, e8d7, c3d5, d7c6, d3b5, c6d5, e2f4, d5e4, f1e1","[0.012, 0.0099, 0.0101, 0.0121, 0.0114, 0.0133, 0.0125, 0.016, 0.0288, 0.0279, 0.0463, 0.0482, 0.9996, 0.9997, 0.9998, 0.9999, 0.9999, 1.0]","0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -3, -3",18
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g1f3, e7e5, f1c4, d7d5, b1a3, d5c4, e1f1, c8g4, f1g1, d8f6, a1b1, d4f3, d1f3, g4f3, a3c4, f6g6, g2g3, g6e4, a2a4, e4e1","[-0.007, -0.0078, -0.0135, -0.0164, -0.037, -0.0659, -0.0815, -0.0771, -0.0971, -0.1002, -0.1153, -0.1162, -0.1175, -0.1191, -0.1382, -0.1397, -0.1528, -0.155, -0.9999, -1.0]","-3, -3, -3, -3, -3, -6, -6, -6, -6, -6, -6, -9, -6, -15, -14, -14, -14, -15, -15, -15",20
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c2c3, f7f6, c3d4, b8a6, b1c3, a6b8, d4d5, b7b6, d2d4, f6f5, e4f5, c8a6, d1h5, g7g6, f5g6, e7e5, g6g7, e8e7, h5e5, e7f7, g7h8n","[0.016, 0.0285, 0.0186, 0.012, 0.0115, 0.0182, 0.0174, 0.0256, 0.0276, 0.0443, 0.0434, 0.0704, 0.07, 0.0694, 0.0693, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","-3, -3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 10",21
