winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"e2e4, c7c5, b1c3, b8c6, d1g4, d7d5, f1b5, c8g4, b5e2, g4e2, c3b1, e2a6, f2f3, d5e4, h2h4, d8d6, c2c3, d6g3, e1d1, g3g2, f3f4, a6d3, b1a3, g2f1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"h2h3, e7e5, g2g4, b8c6, f2f3, d8h4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g4, d7d5, e2e3, e7e5, f1c4, d5c4, b1c3, b8c6, d2d3, c4d3, d1d2, c8g4, a1b1, d3c2, c3d1, c2d1q, d2d1, d8d1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c3, g8f6, b2b4, e7e5, d1c2, d7d5, g1f3, e5e4, e1d1, e4f3, c2b2, f3e2, f1e2, f8d6, g2g4, f6g4, e2f1, g4f2, d1e1, d8h4, a2a4, e8g8, f1a6, b8a6, b2a3, f8e8, e1f1, c8h3, f1g1, e8e1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, g8f6, b2b3, e7e5, a2a4, d7d5, c1b2, b8c6, a1a3, d5d4, b2a1, e5e4, g2g4, e4e3, c2c3, e3f2, e1d2, d4c3, d2c2, f6g4, d1e1, c6b4, c2c3, f2e1q, c3b2, d8d4, b1c3, d4c3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"a2a3, e7e5, g2g4, d7d5, f1g2, b8c6, g4g5, h7h6, h2h3, h6g5, c2c4, d5c4, b1c3, f7f6, d2d4, e5d4, e1f1, d4c3, d1e1, c3c2, c1e3, g8e7, b2b3, c4b3, g2d5, d8d5, e3c1, d5h1, c1f4, c8h3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, g1f3, g8f6, c1e3, b8c6, e3a7, c6a7, a2a4, c7c5, b1a3, g7g6, e2e3, f8g7, a1b1, a7c6, e1e2, a8a4, h2h3, a4a8, d1e1, e8g8, e2d2, b7b5, f3e5, c6e5, d2d1, b5b4, a3b5, d8b6, h1h2, b4b3, c2c3, b6b5, e3e4, e5d3, f2f3, d3b2, b1b2, a8a1, d1d2, g7h6, e1e3, b5f1, b2b1, a1a2, b1b2, a2b2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f3, e7e5, h2h4, d7d5, c2c4, f8e7, g1h3, e7h4, g2g3, h4g3, h3f2, d5d4, b1a3, h7h5, c4c5, h5h4, h1h3, b8c6, a3c4, c8h3, c4e3, g3f2, e1f2, d4e3, f2e1, d8g5, f1g2, g5g3, e1f1, g3f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, g8f6, a2a3, g7g6, e2e3, f8g7, d1f3, d7d5, f1c4, d5c4, b1d2, c7c5, b2b4, c4b3, d2f1, b3c2, e3e4, d8d4, e1e2, d4d1, e2e3, g7h6, f3f4, f6g4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"h2h4, e7e5, b1a3, g8f6, b2b3, d7d5, h4h5, h7h6, e2e3, a7a6, c1b2, f8d6, a1b1, d8e7, f1b5, a6b5, b2e5, d6e5, a3c4, b8c6, f2f3, b5c4, g1h3, f6h5, b1c1, h5g3, h1g1, e7h4, c1b1, c8h3, c2c3, g3e4, e1f1, h4f2"
